country,title,publishedAt,channelTitle,categoryId,trending_date,view_count,comment_count
AL,DON XHONI - KATILE,2022-07-07T22:00:12Z,DON XHONI,24,22.11.07,5130167,3641
AL,Dhurata Dora x Elvana Gjata - GAJDE (Official Video),2022-06-30T22:00:11Z,Dhurata Dora,10,22.11.07,8886648,4414
AL,KIDA x BUTRINT IMERI - AM/PM,2022-07-02T22:00:11Z,KIDA,10,22.11.07,7230818,7518
AL,Dafina Zeqiri - Malli,2022-07-07T22:00:12Z,Dafina Zeqiri,10,22.11.07,1406078,827
AL,Tayna x Azet - Tequila,2022-06-30T18:00:26Z,Friends Entertainment,10,22.11.07,6397676,6063
AL,GJIKO x FIFI - DJEGI KREJT,2022-07-07T17:45:11Z,REDBOX Entertainment,10,22.11.07,1695364,1961
AL,Ardian Bujupi x Ledri Vula - GELATO (prod. by Bled),2022-06-30T22:00:11Z,OfficialArdianBujupi,10,22.11.07,3316092,1391
AL,Capital T - Dukat (prod. Panda Music),2022-06-29T16:00:03Z,Capital T,10,22.11.07,7110466,1230
AL,MatoLale x Jongmen KOKAINA,2022-07-05T16:30:27Z,MATOLALE,10,22.11.07,1157204,929
AL,Luana Vjollca ft. Mc Kresha - Nuk O Ka Ma Qet,2022-07-06T16:00:00Z,Luana Vjollca,24,22.11.07,1667097,422
AL,MELISA - ADIOS (Official Video 4K),2022-07-06T22:00:09Z,MELISA,10,22.11.07,339785,253
AL,Noizy x Loredana - Heart attack,2022-06-16T22:00:11Z,thisisnoizy,24,22.11.07,18163270,24279
AL,Geasy x Majk - MARI,2022-06-28T19:11:17Z,BABASTARSchannel,24,22.11.07,2205353,0
AL,Gran Error x Elvana Gjata  x ANTONIA  - Clap Clap (Official Video),2022-07-08T10:00:06Z,Elvana Gjata,10,22.11.07,595974,393
AL,BUTRINT IMERI x TAYNA x MOZZIK - PARE,2022-06-16T22:00:59Z,AVD Digital,10,22.11.07,18472194,11493
